Borough ,District ,School Code ,School Name ,School Type ,Enrollment (2017-2018) ,Capacity (2017-2018) ,Target Utilization % 2017-18 
,,,,,,,
Bronx ,11,X083 ,P.S. 083 Donald Hertz ,K-8 ,"1,698","1,533",111%
,,,,,,,
Bronx ,11,X089 ,P.S. 089 Bronx ,K-8 ,"1,548","1,413",110%
,,,,,,,
Bronx ,11,X488 ,The Equality Charter School ,Secondary School ,269,250,108%
,,,,,,,
Bronx ,11,X326 ,Bronx Green Middle School ,Junior High-Intermediate-Middle ,395,375,105%
,,,,,,,
Bronx ,11,X096 ,P.S. 096 Richard Rodgers ,Elementary ,952,904,105%
,,,,,,,
Bronx ,11,X106 ,P.S. 106 Parkchester ,Elementary ,"1,100","1,049",105%
,,,,,,,
Bronx ,11,X121 ,P.S. 121 Throop ,Elementary ,917,880,104%
,,,,,,,
Bronx ,11,X153 ,P.S. 153 Helen Keller ,Elementary ,649,623,104%
,,,,,,,
Bronx ,11,X127 ,J.H.S. 127 The Castle Hill ,Junior High-Intermediate-Middle ,806,781,103%
,,,,,,,
Bronx ,11,X542 ,Pelham Preparatory Academy ,High school ,501,494,101%
,,,,,,,
Bronx ,11,X181 ,I.S. 181 Pablo Casals ,Junior High-Intermediate-Middle ,883,875,101%
,,,,,,,
Bronx ,12,X300 ,The School of Science and Applied Learning ,Elementary ,614,438,140%
,,,,,,,
Bronx ,12,X047 ,P.S. 047 John Randolph ,Elementary ,"1,075",769,140%
,,,,,,,
Bronx ,12,X271 ,East Bronx Academy for the Future ,Secondary School ,671,501,134%
,,,,,,,
Bronx ,12,X195 ,P.S. 195 ,Elementary ,964,727,133%
,,,,,,,
Bronx ,12,X196 ,P.S. 196 ,Elementary ,934,734,127%
,,,,,,,
Bronx ,12,X321 ,Crotona Academy High School ,High school ,128,103,124%
,,,,,,,
Bronx ,12,X691 ,Bronx Little School ,Elementary ,298,250,119%
,,,,,,,
Bronx ,12,X531 ,Archer Elementary School ,Elementary ,501,428,117%
,,,,,,,
Bronx ,12,X346 ,South Bronx Classical Charter School ,K-8 ,495,430,115%
,,,,,,,
Bronx ,12,X536 ,P.S. 536 ,Elementary ,431,396,109%
,,,,,,,
Bronx ,12,X242 ,Mott Hall V ,Secondary School ,682,635,107%
,,,,,,,
Bronx ,12,X057 ,P.S. 057 Crescent ,Elementary ,509,474,107%
,,,,,,,
Bronx ,12,X150 ,P.S. 150 Charles James Fox ,Elementary ,857,811,106%
,,,,,,,
Bronx ,12,X286 ,Fannie Lou Hamer Middle School ,Junior High-Intermediate-Middle ,276,266,104%
,,,,,,,
Bronx ,12,X316 ,Kappa III ,Junior High-Intermediate-Middle ,385,380,101%
,,,,,,,
Bronx ,12,X458 ,Samara Community School ,Elementary ,208,206,101%
,,,,,,,
Bronx ,12,X129 ,M.S. 129 Academy for Independent Learning and Leadership ,Junior High-Intermediate-Middle ,517,514,101%
,,,,,,,
Brooklyn ,13,K752 ,Success Academy Fort Greene (Brooklyn 5) ,Elementary ,369,163,226%
,,,,,,,
Brooklyn ,13,K492 ,Academy of Arts and Letters ,K-8 ,519,382,136%
,,,,,,,
Brooklyn ,13,K373 ,P.S. 373 - Brooklyn Transition Center ,High school ,407,305,133%
,,,,,,,
Brooklyn ,13,K009 ,P.S. 009 Teunis G. Bergen ,Elementary ,912,684,133%
,,,,,,,
Brooklyn ,13,K020 ,P.S. 020 Clinton Hill ,Elementary ,457,349,131%
,,,,,,,
Brooklyn ,13,K430 ,Brooklyn Technical High School ,High school ,"5,838","4,502",130%
,,,,,,,
Brooklyn ,13,K595 ,Bedford Academy High School ,High school ,364,299,122%
,,,,,,,
Brooklyn ,13,K011 ,P.S. 011 Purvis J. Behan ,Elementary ,894,798,112%
,,,,,,,
Brooklyn ,13,K077 ,P.S. K077 ,K-12 all grades ,288,274,105%
,,,,,,,
Brooklyn ,13,K483 ,The Urban Assembly School for Law and Justice ,High school ,449,437,103%
,,,,,,,
Brooklyn ,13,K536 ,Community Roots Charter School ,K-8 ,474,463,102%
,,,,,,,
Brooklyn ,13,K008 ,P.S. 008 Robert Fulton ,K-8 ,916,900,102%
,,,,,,,
Brooklyn ,14,K319 ,P.S. 319 ,Early Childhood ,129,43,300%
,,,,,,,
Brooklyn ,14,K577 ,Conselyea Preparatory School ,Junior High-Intermediate-Middle ,502,361,139%
,,,,,,,
Brooklyn ,14,K034 ,P.S. 034 Oliver H. Perry ,Elementary ,482,361,134%
,,,,,,,
Brooklyn ,14,K125 ,Success Academy Charter School - Bed-Stuy 2 ,Elementary ,339,264,128%
,,,,,,,
Brooklyn ,14,K132 ,P.S. 132 The Conselyea School ,Elementary ,723,598,121%
,,,,,,,
Brooklyn ,14,K561 ,Williamsburg Preparatory School ,High school ,676,626,108%
,,,,,,,
Brooklyn ,14,K689 ,Citizens of the World Charter School 1 Williamsburg ,Elementary ,374,347,108%
,,,,,,,
Brooklyn ,14,K478 ,"The High School for Enterprise, Business and Technology ",High school ,872,820,106%
,,,,,,,
Brooklyn ,15,K039 ,P.S. 039 Henry Bristow ,Elementary ,410,243,169%
,,,,,,,
Brooklyn ,15,K172 ,P.S. 172 Beacon School of Excellence ,Elementary ,593,373,159%
,,,,,,,
Brooklyn ,15,K107 ,P.S. 107 John W. Kimball ,Elementary ,567,370,153%
,,,,,,,
Brooklyn ,15,K118 ,The Maurice Sendak Community School ,Elementary ,307,212,145%
,,,,,,,
Brooklyn ,15,K169 ,P.S. 169 Sunset Park ,Elementary ,"1,496","1,061",141%
,,,,,,,
Brooklyn ,15,K094 ,P.S. 094 The Henry Longfellow ,Elementary ,"1,380","1,047",132%
,,,,,,,
Brooklyn ,15,K418 ,The Children's School ,Elementary ,309,235,131%
,,,,,,,
Brooklyn ,15,K154 ,The Windsor Terrace School ,Elementary ,514,394,130%
,,,,,,,
Brooklyn ,15,K001 ,P.S. 001 The Bergen ,Elementary ,"1,294","1,007",129%
,,,,,,,
Brooklyn ,15,K131 ,P.S. 131 Brooklyn ,Elementary ,999,781,128%
,,,,,,,
Brooklyn ,15,K839 ,M.S. 839 ,Junior High-Intermediate-Middle ,326,257,127%
,,,,,,,
Brooklyn ,15,K058 ,P.S. 058 The Carroll ,Elementary ,957,765,125%
,,,,,,,
Brooklyn ,15,K321 ,P.S. 321 William Penn ,Elementary ,"1,421","1,146",124%
,,,,,,,
Brooklyn ,15,K010 ,"Magnet School of Math, Science and Design Technology ",Elementary ,933,762,122%
,,,,,,,
Brooklyn ,15,K029 ,P.S. 029 John M. Harrigan ,Elementary ,927,761,122%
,,,,,,,
Brooklyn ,15,K146 ,"The Brooklyn New School, P.S. 146 ",Elementary ,686,564,122%
,,,,,,,
Brooklyn ,15,K124 ,P.S. 124 Silas B. Dutcher ,Elementary ,344,284,121%
,,,,,,,
Brooklyn ,15,K443 ,New Voices School of Academic & Creative Arts ,Junior High-Intermediate-Middle ,567,471,120%
,,,,,,,
Brooklyn ,15,K051 ,M.S. 51 William Alexander ,Junior High-Intermediate-Middle ,"1,136",955,119%
,,,,,,,
Brooklyn ,15,K516 ,Sunset Park Avenues Elementary School ,Elementary ,432,369,117%
,,,,,,,
Brooklyn ,15,K261 ,P.S. 261 Philip Livingston ,Elementary ,803,726,111%
,,,,,,,
Brooklyn ,15,K295 ,P.S. 295 ,Elementary ,452,427,106%
,,,,,,,
Brooklyn ,15,K088 ,J.H.S. 088 Peter Rouget ,Junior High-Intermediate-Middle ,"1,350","1,340",101%
,,,,,,,
Brooklyn ,15,K464 ,Park Slope Collegiate ,Secondary School ,654,652,100%
,,,,,,,
Brooklyn ,16,K406 ,"EMBER Charter School for Mindful Education, Innovation and Transformation ",K-8 ,380,357,106%
,,,,,,,
Brooklyn ,16,K628 ,Brooklyn Brownstone School ,Elementary ,266,250,106%
,,,,,,,
Brooklyn ,16,K649 ,La Cima Charter School ,Elementary ,398,377,106%
,,,,,,,
Brooklyn ,17,K399 ,P.S. 399 Stanley Eugene Clark ,Elementary ,400,184,217%
,,,,,,,
Brooklyn ,17,K590 ,Medgar Evers College Preparatory School ,Secondary School ,"1,257",723,174%
,,,,,,,
Brooklyn ,17,K333 ,Explore Exceed Charter School ,K-8 ,505,356,142%
,,,,,,,
Brooklyn ,17,K770 ,P.S. 770 New American Academy ,Elementary ,289,206,140%
,,,,,,,
Brooklyn ,17,K704 ,Explore Charter School ,K-8 ,533,390,137%
,,,,,,,
Brooklyn ,17,K742 ,Explore Empower Charter School ,K-8 ,523,398,131%
,,,,,,,
Brooklyn ,17,K249 ,P.S. 249 The Caton ,Elementary ,873,702,124%
,,,,,,,
Brooklyn ,17,K705 ,Brooklyn Arts and Science Elementary School ,Elementary ,398,323,123%
,,,,,,,
Brooklyn ,17,K692 ,Citizens of the World Charter School New York 2 Crown Heights ,Elementary ,364,307,119%
,,,,,,,
Brooklyn ,17,K316 ,P.S. 316 Elijah Stroud ,Elementary ,539,467,115%
,,,,,,,
Brooklyn ,17,K006 ,Norma Adams Clemons Academy ,Elementary ,667,639,104%
,,,,,,,
Brooklyn ,18,K736 ,New American Academy Charter School ,Elementary ,363,324,112%
,,,,,,,
Brooklyn ,18,K775 ,Leadership Preparatory Ocean Hill Charter School ,K-12 all grades ,"1,171","1,124",104%
,,,,,,,
Brooklyn ,18,K724 ,Leadership Prep Canarsie Charter School (Leadership Prep CS 4) ,K-8 ,765,751,102%
,,,,,,,
Brooklyn ,18,K066 ,P.S. 66 ,K-8 ,822,818,100%
,,,,,,,
Brooklyn ,19,K409 ,East New York Family Academy ,Secondary School ,496,300,165%
,,,,,,,
Brooklyn ,19,K108 ,P.S. 108 Sal Abbracciamento ,Elementary ,959,672,143%
,,,,,,,
Brooklyn ,19,K680 ,Achievement First Aspire Charter School ,Elementary ,571,401,142%
,,,,,,,
Brooklyn ,19,K214 ,P.S. 214 Michael Friedsam ,Elementary ,914,713,128%
,,,,,,,
Brooklyn ,19,K007 ,P.S. 007 Abraham Lincoln ,Elementary ,879,787,112%
,,,,,,,
Brooklyn ,19,K677 ,East New York Elementary School of Excellence ,Elementary ,536,500,107%
,,,,,,,
Brooklyn ,19,K639 ,Brooklyn Lab School ,High school ,384,373,103%
,,,,,,,
Brooklyn ,19,K422 ,Spring Creek Community School ,Secondary School ,478,466,103%
,,,,,,,
Brooklyn ,19,K788 ,Achievement First Linden Elementary School ,Elementary ,453,449,101%
,,,,,,,
Brooklyn ,20,K490 ,Fort Hamilton High School ,High school ,"4,582","2,391",192%
,,,,,,,
Brooklyn ,20,K127 ,P.S. 127 Mckinley Park ,Elementary ,538,303,178%
,,,,,,,
Brooklyn ,20,K445 ,New Utrecht High School ,High school ,"3,563","2,253",158%
,,,,,,,
Brooklyn ,20,K503 ,P.S. 503: The School of Discovery ,Elementary ,"1,167",738,158%
,,,,,,,
Brooklyn ,20,K247 ,P.S. 247 Brooklyn ,Elementary ,873,563,155%
,,,,,,,
Brooklyn ,20,K176 ,P.S. 176 Ovington ,Elementary ,"1,334",919,145%
,,,,,,,
Brooklyn ,20,K105 ,P.S. 105 The Blythebourne ,Elementary ,"1,507","1,057",143%
,,,,,,,
Brooklyn ,20,K205 ,P.S. 205 Clarion ,Elementary ,"1,278",902,142%
,,,,,,,
Brooklyn ,20,K310 ,The School For Future Leaders ,Elementary ,409,294,139%
,,,,,,,
Brooklyn ,20,K180 ,The SEEALL Academy ,K-8 ,"1,136",827,137%
,,,,,,,
Brooklyn ,20,K102 ,P.S. 102 The Bayview ,Elementary ,"1,432","1,050",136%
,,,,,,,
Brooklyn ,20,K971 ,"School of Math, Science, and Healthy Living ",Elementary ,357,266,134%
,,,,,,,
Brooklyn ,20,K204 ,P.S. 204 Vince Lombardi ,Elementary ,"1,178",886,133%
,,,,,,,
Brooklyn ,20,K200 ,P.S. 200 Benson School ,Elementary ,"1,316","1,001",131%
,,,,,,,
Brooklyn ,20,K185 ,P.S. 185 Walter Kassenbrock ,Elementary ,652,504,129%
,,,,,,,
Brooklyn ,20,K229 ,P.S. 229 Dyker ,K-8 ,"1,249",970,129%
,,,,,,,
Brooklyn ,20,K170 ,Ralph A. Fabrizio School ,Elementary ,"1,035",816,127%
,,,,,,,
Brooklyn ,20,K048 ,P.S. 048 Mapleton ,Elementary ,593,468,127%
,,,,,,,
Brooklyn ,20,K506 ,P.S. 506: The School of Journalism & Technology ,Elementary ,793,638,124%
,,,,,,,
Brooklyn ,20,K104 ,P.S./I.S. 104 The Fort Hamilton School ,K-8 ,"1,265","1,029",123%
,,,,,,,
Brooklyn ,20,K186 ,P.S. 186 Dr. Irving A Gladstone ,Elementary ,"1,032",846,122%
,,,,,,,
Brooklyn ,20,K069 ,P.S. 69 Vincent D. Grippo School ,Elementary ,785,645,122%
,,,,,,,
Brooklyn ,20,K505 ,Franklin Delano Roosevelt High School ,High school ,"3,061","2,552",120%
,,,,,,,
Brooklyn ,20,K264 ,P.S. 264 Bay Ridge Elementary School For The Arts ,Elementary ,480,407,118%
,,,,,,,
Brooklyn ,20,K160 ,P.S. 160 William T. Sampson ,Elementary ,"1,274","1,092",117%
,,,,,,,
Brooklyn ,20,K164 ,P.S. 164 Caesar Rodney ,Elementary ,709,608,117%
,,,,,,,
Brooklyn ,20,K259 ,J.H.S. 259 William Mckinley ,Junior High-Intermediate-Middle ,"1,852","1,590",116%
,,,,,,,
Brooklyn ,20,K201 ,J.H.S. 201 The Dyker Heights ,Junior High-Intermediate-Middle ,"1,584","1,414",112%
,,,,,,,
Brooklyn ,20,K163 ,P.S. 163 Bath Beach ,K-8 ,633,569,111%
,,,,,,,
Brooklyn ,20,K112 ,P.S. 112 Lefferts Park ,Elementary ,681,617,110%
,,,,,,,
Brooklyn ,20,K748 ,P.S. 748 Brooklyn School for Global Scholars ,Elementary ,548,499,110%
,,,,,,,
Brooklyn ,20,K223 ,J.H.S. 223 The Montauk ,Junior High-Intermediate-Middle ,950,874,109%
,,,,,,,
Brooklyn ,20,K220 ,J.H.S. 220 John J. Pershing ,Junior High-Intermediate-Middle ,"1,520","1,415",107%
,,,,,,,
Brooklyn ,20,K030 ,P.S./I.S. 30 Mary White Ovington ,K-8 ,911,850,107%
,,,,,,,
Brooklyn ,20,K227 ,J.H.S. 227 Edward B. Shallow ,Junior High-Intermediate-Middle ,"1,506","1,435",105%
,,,,,,,
Brooklyn ,20,K485 ,High School of Telecommunication Arts and Technology ,High school ,"1,278","1,220",105%
,,,,,,,
Brooklyn ,20,K609 ,Urban Assembly School for Criminal Justice ,Secondary School ,556,550,101%
,,,,,,,
Brooklyn ,20,K179 ,P.S. 179 Kensington ,Elementary ,884,876,101%
,,,,,,,
Brooklyn ,21,K253 ,P.S. 253 ,Elementary ,921,629,146%
,,,,,,,
Brooklyn ,21,K215 ,P.S. 215 Morris H. Weiss ,Elementary ,920,632,146%
,,,,,,,
Brooklyn ,21,K177 ,P.S. 177 The Marlboro ,Elementary ,"1,022",743,138%
,,,,,,,
Brooklyn ,21,K128 ,P.S. 128 Bensonhurst ,Elementary ,467,340,137%
,,,,,,,
Brooklyn ,21,K101 ,P.S. 101 The Verrazano ,Elementary ,870,636,137%
,,,,,,,
Brooklyn ,21,K097 ,P.S. 97 The Highlawn ,Elementary ,780,596,131%
,,,,,,,
Brooklyn ,21,K772 ,Success Academy Charter School - Bensonhurst - New York 3 ,Elementary ,495,381,130%
,,,,,,,
Brooklyn ,21,K344 ,Rachel Carson High School for Coastal Studies ,High school ,639,498,128%
,,,,,,,
Brooklyn ,21,K744 ,Coney Island Preparatory Public Charter School ,K-12 all grades ,679,537,126%
,,,,,,,
Brooklyn ,21,K153 ,P.S. 153 Homecrest ,Elementary ,563,457,123%
,,,,,,,
Brooklyn ,21,K281 ,I.S. 281 Joseph B Cavallaro ,Junior High-Intermediate-Middle ,"1,334","1,106",121%
,,,,,,,
Brooklyn ,21,K525 ,Edward R. Murrow High School ,High school ,"3,789","3,165",120%
,,,,,,,
Brooklyn ,21,K100 ,P.S. 100 The Coney Island School ,Elementary ,793,663,120%
,,,,,,,
Brooklyn ,21,K225 ,P.S. K225 - The Eileen E. Zaglin ,K-8 ,"1,011",848,119%
,,,,,,,
Brooklyn ,21,K690 ,Brooklyn Studio Secondary School ,Secondary School ,942,798,118%
,,,,,,,
Brooklyn ,21,K099 ,P.S. 099 Isaac Asimov ,K-8 ,876,757,116%
,,,,,,,
Brooklyn ,21,K121 ,P.S. 121 Nelson A. Rockefeller ,K-8 ,336,302,111%
,,,,,,,
Brooklyn ,21,K216 ,P.S. 216 Arturo Toscanini ,Elementary ,762,722,106%
,,,,,,,
Brooklyn ,21,K811 ,P.S. K811 Connie Lekas School ,Secondary School ,329,314,105%
,,,,,,,
Brooklyn ,21,K098 ,I.S. 98 Bay Academy ,Junior High-Intermediate-Middle ,"1,530","1,462",105%
,,,,,,,
Brooklyn ,21,K095 ,P.S. 095 The Gravesend ,K-8 ,943,904,104%
,,,,,,,
Brooklyn ,21,K540 ,John Dewey High School ,High school ,"2,309","2,219",104%
,,,,,,,
Brooklyn ,21,K209 ,P.S. 209 Margaret Mead ,K-8 ,733,707,104%
,,,,,,,
Brooklyn ,21,K212 ,P.S. 212 Lady Deborah Moody ,Elementary ,699,678,103%
,,,,,,,
Brooklyn ,21,K090 ,P.S. 90 Edna Cohen School ,Elementary ,667,650,103%
,,,,,,,
Brooklyn ,21,K410 ,Abraham Lincoln High School ,High school ,"1,998","1,957",102%
,,,,,,,
Brooklyn ,21,K288 ,P.S. 288 The Shirley Tanyhill ,K-8 ,663,652,102%
,,,,,,,
Brooklyn ,21,K226 ,P.S. 226 Alfred De B. Mason ,K-8 ,"1,030","1,029",100%
,,,,,,,
Brooklyn ,22,K405 ,Midwood High School ,High school ,"4,058","2,462",165%
,,,,,,,
Brooklyn ,22,K425 ,James Madison High School ,High school ,"3,657","2,253",162%
,,,,,,,
Brooklyn ,22,K254 ,P.S. 254 Dag Hammarskjold ,Elementary ,789,537,147%
,,,,,,,
Brooklyn ,22,K326 ,P.S. 326 ,Early Childhood ,191,130,147%
,,,,,,,
Brooklyn ,22,K195 ,P.S. 195 Manhattan Beach ,Elementary ,481,333,144%
,,,,,,,
Brooklyn ,22,K255 ,P.S. 255 Barbara Reing School ,Elementary ,936,648,144%
,,,,,,,
Brooklyn ,22,K206 ,P.S. 206 Joseph F Lamb ,K-8 ,"1,505","1,046",144%
,,,,,,,
Brooklyn ,22,K139 ,P.S. 139 Alexine A. Fenty ,Elementary ,992,788,126%
,,,,,,,
Brooklyn ,22,K207 ,P.S. 207 Elizabeth G. Leary ,K-8 ,"1,228","1,002",123%
,,,,,,,
Brooklyn ,22,K119 ,P.S. 119 Amersfort ,Elementary ,442,367,120%
,,,,,,,
Brooklyn ,22,K134 ,P.S. K134 ,Elementary ,570,475,120%
,,,,,,,
Brooklyn ,22,K234 ,J.H.S. 234 Arthur W. Cunningham ,Junior High-Intermediate-Middle ,"1,907","1,622",118%
,,,,,,,
Brooklyn ,22,K194 ,P.S. 194 Raoul Wallenberg ,Elementary ,590,504,117%
,,,,,,,
Brooklyn ,22,K535 ,Leon M. Goldstein High School for the Sciences ,High school ,"1,011",885,114%
,,,,,,,
Brooklyn ,22,K277 ,P.S. 277 Gerritsen Beach ,Elementary ,421,369,114%
,,,,,,,
Brooklyn ,22,K217 ,P.S. 217 Colonel David Marcus School ,Elementary ,"1,186","1,042",114%
,,,,,,,
Brooklyn ,22,K781 ,Success Academy Charter School - Bergen Beach - New York 4 ,Elementary ,423,372,114%
,,,,,,,
Brooklyn ,22,K222 ,P.S. 222 Katherine R. Snyder ,Elementary ,932,850,110%
,,,,,,,
Brooklyn ,22,K236 ,P.S. 236 Mill Basin ,Elementary ,554,509,109%
,,,,,,,
Brooklyn ,22,K052 ,P.S. 052 Sheepshead Bay ,Elementary ,823,757,109%
,,,,,,,
Brooklyn ,22,K315 ,P.S. K315 ,Elementary ,677,639,106%
,,,,,,,
Brooklyn ,22,K245 ,P.S. 245 ,Elementary ,308,300,103%
,,,,,,,
Brooklyn ,22,K152 ,School of Science & Technology ,Elementary ,734,720,102%
,,,,,,,
Brooklyn ,23,K711 ,Leadership Preparatory Brownsville Charter School ,K-8 ,763,694,110%
,,,,,,,
Brooklyn ,23,K777 ,Ocean Hill Collegiate Charter School ,Junior High-Intermediate-Middle ,337,322,105%
,,,,,,,
Queens ,24,Q530 ,International High School at LaGuardia Community College ,High school ,527,304,173%
,,,,,,,
Queens ,24,Q028 ,P.S. 28 - The Thomas Emanuel Early Childhood Center ,Early Childhood ,507,302,168%
,,,,,,,
Queens ,24,Q264 ,Academy of Finance and Enterprise ,High school ,598,365,164%
,,,,,,,
Queens ,24,Q089 ,P.S. 089 Elmhurst ,Elementary ,"1,961","1,305",150%
,,,,,,,
Queens ,24,Q307 ,Pioneer Academy ,Elementary ,934,641,146%
,,,,,,,
Queens ,24,Q012 ,P.S. 012 James B. Colgate ,Elementary ,"1,219",846,144%
,,,,,,,
Queens ,24,Q128 ,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School ",K-8 ,969,676,143%
,,,,,,,
Queens ,24,Q520 ,Middle College High School at LaGuardia Community College ,High school ,510,357,143%
,,,,,,,
Queens ,24,Q229 ,P.S. 229 Emanuel Kaplan ,Elementary ,"1,469","1,077",136%
,,,,,,,
Queens ,24,Q330 ,Helen M. Marshall School ,Elementary ,590,433,136%
,,,,,,,
Queens ,24,Q550 ,High School for Arts and Business ,High school ,812,596,136%
,,,,,,,
Queens ,24,Q119 ,I.S. 119 The Glendale ,K-8 ,"1,277",957,133%
,,,,,,,
Queens ,24,Q585 ,Maspeth High School ,High school ,"1,196",905,132%
,,,,,,,
Queens ,24,Q087 ,P.S./I.S. 087 Middle Village ,K-8 ,606,460,132%
,,,,,,,
Queens ,24,Q016 ,P.S. Q016 The Nancy DeBenedittis School ,Elementary ,"1,574","1,223",129%
,,,,,,,
Queens ,24,Q610 ,Aviation Career & Technical Education High School ,High school ,"2,084","1,639",127%
,,,,,,,
Queens ,24,Q600 ,Queens Technical High School ,High school ,"1,546","1,228",126%
,,,,,,,
Queens ,24,Q013 ,P.S. 013 Clement C. Moore ,Elementary ,"1,597","1,282",125%
,,,,,,,
Queens ,24,Q102 ,P.S. 102 Bayview ,K-8 ,"1,326","1,071",124%
,,,,,,,
Queens ,24,Q014 ,P.S. 014 Fairview ,Elementary ,"1,691","1,370",123%
,,,,,,,
Queens ,24,Q267 ,High School of Applied Communication ,High school ,417,345,121%
,,,,,,,
Queens ,24,Q113 ,P.S./I.S. 113 Anthony J. Pranzo ,K-8 ,896,769,117%
,,,,,,,
Queens ,24,Q877 ,The 51 Avenue Academy (The Path To Academic Excellence) ,Elementary ,438,378,116%
,,,,,,,
Queens ,24,Q005 ,I.S. 5 - The Walter Crowley Intermediate School ,Junior High-Intermediate-Middle ,"1,798","1,562",115%
,,,,,,,
Queens ,24,Q019 ,P.S. 019 Marino Jeantet ,Elementary ,"1,891","1,648",115%
,,,,,,,
Queens ,24,Q110 ,P.S. 110 ,Elementary ,790,703,112%
,,,,,,,
Queens ,24,Q143 ,P.S. 143 Louis Armstrong ,Elementary ,"1,484","1,330",112%
,,,,,,,
Queens ,24,Q153 ,P.S. 153 Maspeth Elem ,Elementary ,"1,204","1,118",108%
,,,,,,,
Queens ,24,Q236 ,International High School for Health Sciences ,High school ,307,290,106%
,,,,,,,
Queens ,24,Q560 ,"Robert F. Wagner, Jr. Secondary School for Arts and Technology ",Secondary School ,665,631,105%
,,,,,,,
Queens ,24,Q199 ,P.S. 199 Maurice A. Fitzgerald ,Elementary ,898,854,105%
,,,,,,,
Queens ,24,Q058 ,P.S. 58 - The School of Heroes ,Elementary ,"1,027",977,105%
,,,,,,,
Queens ,24,Q007 ,P.S. 007 Louis F. Simeone ,Elementary ,993,952,104%
,,,,,,,
