Borough ,District ,School Code ,School Name ,School Type ,Enrollment (2017-2018) ,Capacity (2017-2018) ,Target Utilization % 2017-18 
Queens ,24,Q061 ,I.S. 061 Leonardo Da Vinci ,Junior High-Intermediate-Middle ,"2,238","2,149",104%
,,,,,,,
Queens ,24,Q343 ,The Children's Lab School ,Elementary ,368,355,104%
,,,,,,,
Queens ,24,Q290 ,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus ,Elementary ,542,534,101%
,,,,,,,
Queens ,24,Q277 ,The Riverview School ,K-12 all grades ,404,401,101%
,,,,,,,
Queens ,24,Q296 ,Pan American International High School ,High school ,449,448,100%
,,,,,,,
Queens ,25,Q242 ,P.S. 242 Leonard P. Stavisky Early Childhood School ,Early Childhood ,392,187,210%
,,,,,,,
Queens ,25,Q244 ,The Active Learning Elementary School ,Early Childhood ,456,252,181%
,,,,,,,
Queens ,25,Q024 ,P.S. 024 Andrew Jackson ,Elementary ,992,595,167%
,,,,,,,
Queens ,25,Q032 ,P.S. 032 State Street ,Elementary ,980,602,163%
,,,,,,,
Queens ,25,Q425 ,John Bowne High School ,High school ,"3,601","2,329",155%
,,,,,,,
Queens ,25,Q240 ,Veritas Academy ,High school ,558,363,154%
,,,,,,,
Queens ,25,Q021 ,P.S. 021 Edward Hart ,Elementary ,"1,425",931,153%
,,,,,,,
Queens ,25,Q022 ,P.S. 022 Thomas Jefferson ,Elementary ,921,621,148%
,,,,,,,
Queens ,25,Q670 ,Robert F. Kennedy Community High School ,High school ,756,515,147%
,,,,,,,
Queens ,25,Q079 ,P.S. 079 Francis Lewis ,Elementary ,"1,136",811,140%
,,,,,,,
Queens ,25,Q294 ,BELL Academy ,Junior High-Intermediate-Middle ,375,269,139%
,,,,,,,
Queens ,25,Q184 ,P.S. 184 Flushing Manor ,Elementary ,514,369,139%
,,,,,,,
Queens ,25,Q460 ,Flushing High School ,High school ,"1,692","1,235",137%
,,,,,,,
Queens ,25,Q120 ,P.S. 120 Queens ,Elementary ,"1,034",761,136%
,,,,,,,
Queens ,25,Q129 ,P.S. 129 Patricia Larkin ,Elementary ,"1,094",808,135%
,,,,,,,
Queens ,25,Q163 ,P.S. 163 Flushing Heights ,Elementary ,804,602,134%
,,,,,,,
Queens ,25,Q525 ,Townsend Harris High School ,High school ,"1,141",895,127%
,,,,,,,
Queens ,25,Q169 ,P.S. 169 Bay Terrace ,Elementary ,445,356,125%
,,,,,,,
Queens ,25,Q185 ,J.H.S. 185 Edward Bleeker ,Junior High-Intermediate-Middle ,"1,521","1,221",125%
,,,,,,,
Queens ,25,Q214 ,P.S. 214 Cadwallader Colden ,Elementary ,529,425,124%
,,,,,,,
Queens ,25,Q154 ,P.S. 154 Queens ,Elementary ,673,542,124%
,,,,,,,
Queens ,25,Q237 ,I.S. 237 ,Junior High-Intermediate-Middle ,"1,368","1,124",122%
,,,,,,,
Queens ,25,Q250 ,I.S. 250 The Robert F. Kennedy Community Middle School ,Junior High-Intermediate-Middle ,399,340,117%
,,,,,,,
Queens ,25,Q029 ,P.S. 029 Queens ,Elementary ,728,621,117%
,,,,,,,
Queens ,25,Q209 ,P.S. 209 Clearview Gardens ,Elementary ,580,499,116%
,,,,,,,
Queens ,25,Q252 ,"Queens School of Inquiry, The ",Secondary School ,576,509,113%
,,,,,,,
Queens ,25,Q025 ,I.S. 025 Adrien Block ,Junior High-Intermediate-Middle ,"1,028",911,113%
,,,,,,,
Queens ,25,Q193 ,P.S. 193 Alfred J. Kennedy ,Elementary ,587,525,112%
,,,,,,,
Queens ,25,Q281 ,East-West School of International Studies ,Secondary School ,649,593,109%
,,,,,,,
Queens ,25,Q107 ,P.S. 107 Thomas A Dooley ,Elementary ,970,895,108%
,,,,,,,
Queens ,25,Q165 ,P.S. 165 Edith K. Bergtraum ,Elementary ,767,714,107%
,,,,,,,
Queens ,25,Q020 ,P.S. 020 John Bowne ,Elementary ,"1,314","1,245",106%
,,,,,,,
Queens ,25,Q241 ,Queens High School for Language Studies ,High school ,427,406,105%
,,,,,,,
Queens ,25,Q219 ,P.S. 219 Paul Klapper ,K-8 ,642,612,105%
,,,,,,,
Queens ,25,Q200 ,P.S./M.S. 200 - The Magnet School of Global Studies and Leadership ,K-8 ,522,499,105%
,,,,,,,
Queens ,25,Q194 ,J.H.S. 194 William Carr ,Junior High-Intermediate-Middle ,"1,241","1,211",102%
,,,,,,,
Queens ,26,Q430 ,Francis Lewis High School ,High school ,"4,557","2,188",208%
,,,,,,,
Queens ,26,Q130 ,P.S. 130 ,Elementary ,397,242,164%
,,,,,,,
Queens ,26,Q415 ,Benjamin N. Cardozo High School ,High school ,"3,699","2,429",152%
,,,,,,,
Queens ,26,Q162 ,P.S. 162 John Golden ,Elementary ,680,449,151%
,,,,,,,
Queens ,26,Q203 ,P.S. 203 Oakland Gardens ,Elementary ,938,630,149%
,,,,,,,
Queens ,26,Q191 ,P.S. 191 Mayflower ,Elementary ,396,268,148%
,,,,,,,
Queens ,26,Q018 ,P.S. 018 Winchester ,Elementary ,617,423,146%
,,,,,,,
Queens ,26,Q031 ,P.S. 031 Bayside ,Elementary ,551,379,145%
,,,,,,,
Queens ,26,Q041 ,P.S. 041 Crocheron ,Elementary ,486,343,142%
,,,,,,,
Queens ,26,Q495 ,Bayside High School ,High school ,"3,024","2,144",141%
,,,,,,,
Queens ,26,Q046 ,P.S. 046 Alley Pond ,Elementary ,556,400,139%
,,,,,,,
Queens ,26,Q186 ,P.S. 186 Castlewood ,Elementary ,383,276,139%
,,,,,,,
Queens ,26,Q098 ,P.S. 098 The Douglaston School ,Elementary ,289,212,136%
,,,,,,,
Queens ,26,Q115 ,The James J. Ambrose School ,Elementary ,753,580,130%
,,,,,,,
Queens ,26,Q094 ,P.S. 094 David D. Porter ,Elementary ,328,255,129%
,,,,,,,
Queens ,26,Q178 ,P.S./ IS 178 Holliswood ,K-8 ,566,459,123%
,,,,,,,
Queens ,26,Q205 ,P.S. 205 Alexander Graham Bell ,Elementary ,325,264,123%
,,,,,,,
Queens ,26,Q216 ,J.H.S. 216 George J. Ryan ,Junior High-Intermediate-Middle ,"1,464","1,210",121%
,,,,,,,
Queens ,26,Q159 ,P.S. 159 ,Elementary ,678,562,121%
,,,,,,,
Queens ,26,Q188 ,P.S. 188 Kingsbury ,Elementary ,734,611,120%
,,,,,,,
Queens ,26,Q173 ,P.S. 173 Fresh Meadows ,Elementary ,948,801,118%
,,,,,,,
Queens ,26,Q213 ,P.S. 213 The Carl Ullman School ,Elementary ,467,410,114%
,,,,,,,
Queens ,26,Q177 ,P.S. Q177 ,K-12 all grades ,504,444,114%
,,,,,,,
Queens ,26,Q026 ,P.S. 026 Rufus King ,Elementary ,709,645,110%
,,,,,,,
Queens ,26,Q221 ,P.S. 221 THE NORTH HILLS SCHOOL ,Elementary ,628,587,107%
,,,,,,,
Queens ,26,Q566 ,"Queens High School of Teaching, Liberal Arts and the Sciences ",High school ,"1,073","1,053",102%
,,,,,,,
Queens ,27,Q066 ,P.S. 066 Jacqueline Kennedy Onassis ,Elementary ,494,214,231%
,,,,,,,
Queens ,27,Q051 ,P.S. 051 ,Early Childhood ,244,114,214%
,,,,,,,
Queens ,27,Q375 ,Success Academy Charter School - Far Rockaway ,Elementary ,271,140,194%
,,,,,,,
Queens ,27,Q320 ,New Visions Charter High School for Advanced Math and Science IV ,High school ,373,215,173%
,,,,,,,
Queens ,27,Q096 ,P.S. 096 ,Elementary ,306,179,171%
,,,,,,,
Queens ,27,Q306 ,New York City Academy for Discovery ,Elementary ,417,265,157%
,,,,,,,
Queens ,27,Q097 ,P.S. 097 Forest Park ,Elementary ,720,493,146%
,,,,,,,
Queens ,27,Q064 ,P.S. 064 Joseph P. Addabbo ,Elementary ,616,422,146%
,,,,,,,
Queens ,27,Q317 ,Waterside Children's Studio School ,Elementary ,503,354,142%
,,,,,,,
Queens ,27,Q106 ,Lighthouse Elementary School ,Elementary ,211,157,134%
,,,,,,,
Queens ,27,Q124 ,P.S. 124 Osmond A Church ,K-8 ,"1,229",947,130%
,,,,,,,
Queens ,27,Q316 ,Queens Explorers Elementary School ,Elementary ,386,302,128%
,,,,,,,
Queens ,27,Q047 ,P.S. 047 Chris Galas ,K-8 ,216,169,128%
,,,,,,,
Queens ,27,Q254 ,P.S. 254 - The Rosa Parks School ,Elementary ,648,512,127%
,,,,,,,
Queens ,27,Q146 ,P.S. 146 Howard Beach ,K-8 ,678,538,126%
,,,,,,,
Queens ,27,Q060 ,P.S. 060 Woodhaven ,Elementary ,"1,176",937,126%
,,,,,,,
Queens ,27,Q232 ,P.S. 232 Lindenwood ,K-8 ,970,773,125%
,,,,,,,
Queens ,27,Q273 ,P.S. 273 ,Elementary ,340,277,123%
,,,,,,,
Queens ,27,Q302 ,"Queens High School for Information, Research, and Technology ",High school ,443,362,122%
,,,,,,,
Queens ,27,Q062 ,P. S. 62 - Chester Park School ,Elementary ,944,774,122%
,,,,,,,
Queens ,27,Q090 ,P.S. 090 Horace Mann ,Elementary ,850,704,121%
,,,,,,,
Queens ,27,Q137 ,M.S. 137 America's School of Heroes ,Junior High-Intermediate-Middle ,"1,890","1,568",121%
,,,,,,,
Queens ,27,Q334 ,Epic High School - North ,High school ,390,324,120%
,,,,,,,
Queens ,27,Q650 ,"High School for Construction Trades, Engineering and Architecture ",High school ,"1,027",861,119%
,,,,,,,
Queens ,27,Q108 ,P.S. 108 Captain Vincent G. Fowler ,Elementary ,"1,471","1,244",118%
,,,,,,,
Queens ,27,Q065 ,P.S. 65 - The Raymond York Elementary School ,Elementary ,456,390,117%
,,,,,,,
Queens ,27,Q261 ,Voyages Prep - South Queens ,High school ,299,258,116%
,,,,,,,
Queens ,27,Q105 ,P.S. 105 The Bay School ,K-8 ,815,730,112%
,,,,,,,
Queens ,27,Q114 ,P.S./M.S. 114 Belle Harbor ,K-8 ,669,607,110%
,,,,,,,
Queens ,27,Q253 ,P.S. 253 ,Elementary ,562,510,110%
,,,,,,,
Queens ,27,Q063 ,P.S. 063 Old South ,Elementary ,"1,227","1,124",109%
,,,,,,,
Queens ,27,Q056 ,P.S. 056 Harry Eichler ,Elementary ,387,355,109%
,,,,,,,
Queens ,27,Q104 ,P.S. 104 The Bays Water ,Elementary ,689,633,109%
,,,,,,,
Queens ,27,Q314 ,Epic High School - South ,High school ,329,307,107%
,,,,,,,
Queens ,27,Q323 ,Scholars' Academy ,Secondary School ,"1,376","1,290",107%
,,,,,,,
Queens ,27,Q123 ,P.S. 123 ,Elementary ,688,647,106%
,,,,,,,
Queens ,27,Q480 ,John Adams High School ,High school ,"2,281","2,167",105%
,,,,,,,
Queens ,27,Q202 ,J.H.S. 202 Robert H. Goddard ,Junior High-Intermediate-Middle ,"1,097","1,060",103%
,,,,,,,
Queens ,27,Q308 ,Robert H. Goddard High School of Communication Arts and Technology ,High school ,621,602,103%
,,,,,,,
Queens ,27,Q362 ,Wave Preparatory Elementary School ,Elementary ,554,538,103%
,,,,,,,
Queens ,27,Q100 ,P.S. 100 Glen Morris ,Elementary ,957,932,103%
,,,,,,,
Queens ,27,Q155 ,P.S. 155 ,Elementary ,520,513,101%
,,,,,,,
Queens ,28,Q440 ,Forest Hills High School ,High school ,"3,783","2,018",187%
,,,,,,,
Queens ,28,Q303 ,The Academy for Excellence through the Arts ,Early Childhood ,207,112,185%
,,,,,,,
Queens ,28,Q101 ,P.S. 101 School in the Gardens ,Elementary ,654,401,163%
,,,,,,,
Queens ,28,Q144 ,P.S. 144 Col Jeromus Remsen ,Elementary ,893,556,161%
,,,,,,,
Queens ,28,Q358 ,M.S. 358 ,Junior High-Intermediate-Middle ,381,254,150%
,,,,,,,
Queens ,28,Q054 ,P.S. 054 Hillside ,Elementary ,565,380,149%
,,,,,,,
Queens ,28,Q196 ,P.S. 196 Grand Central Parkway ,Elementary ,993,739,134%
,,,,,,,
Queens ,28,Q220 ,P.S. 220 Edward Mandel ,Elementary ,706,527,134%
,,,,,,,
Queens ,28,Q206 ,P.S. 206 The Horace Harding School ,Elementary ,610,473,129%
,,,,,,,
Queens ,28,Q505 ,Hillcrest High School ,High school ,"3,367","2,626",128%
,,,,,,,
Queens ,28,Q687 ,Queens High School for the Sciences at York College ,High school ,473,372,127%
,,,,,,,
Queens ,28,Q121 ,P.S. 121 Queens ,Elementary ,928,731,127%
,,,,,,,
Queens ,28,Q686 ,Queens Metropolitan High School ,High school ,"1,091",862,127%
,,,,,,,
Queens ,28,Q048 ,P.S. 048 William Wordsworth ,Elementary ,601,478,126%
,,,,,,,
Queens ,28,Q175 ,P.S. 175 The Lynn Gross Discovery School ,Elementary ,808,643,126%
,,,,,,,
Queens ,28,Q287 ,The Emerson School ,Junior High-Intermediate-Middle ,365,291,125%
,,,,,,,
Queens ,28,Q174 ,P.S. 174 William Sidney Mount ,Elementary ,673,538,125%
,,,,,,,
Queens ,28,Q620 ,Thomas A. Edison Career and Technical Education High School ,High school ,"2,133","1,747",122%
,,,,,,,
Queens ,28,Q082 ,P.S. 082 Hammond ,Elementary ,656,554,118%
,,,,,,,
Queens ,28,Q086 ,P.S. Q086 ,Elementary ,944,800,118%
,,,,,,,
Queens ,28,Q161 ,P.S. 161 Arthur Ashe School ,Elementary ,708,602,118%
,,,,,,,
Queens ,28,Q157 ,J.H.S. 157 Stephen A. Halsey ,Junior High-Intermediate-Middle ,"1,636","1,417",115%
,,,,,,,
Queens ,28,Q055 ,P.S. 055 Maure ,Elementary ,513,457,112%
,,,,,,,
Queens ,28,Q896 ,"Young Women's Leadership School, Queens ",Secondary School ,563,507,111%
,,,,,,,
Queens ,28,Q284 ,York Early College Academy ,Secondary School ,646,582,111%
,,,,,,,
Queens ,28,Q139 ,P.S. 139 Rego Park ,Elementary ,750,685,109%
,,,,,,,
Queens ,28,Q680 ,Queens Gateway to Health Sciences Secondary School ,Secondary School ,690,640,108%
,,,,,,,
Queens ,28,Q117 ,P.S. 117 J. Keld / Briarwood School ,Elementary ,"1,016",965,105%
,,,,,,,
Queens ,28,Q325 ,Hillside Arts & Letters Academy ,High school ,467,454,103%
,,,,,,,
Queens ,28,Q182 ,P.S. 182 Samantha Smith ,Elementary ,760,748,102%
,,,,,,,
Queens ,28,Q167 ,Metropolitan Expeditionary Learning School ,Secondary School ,841,834,101%
,,,,,,,
Queens ,28,Q312 ,Jamaica Children's School ,Elementary ,153,152,101%
,,,,,,,
Queens ,29,Q095 ,P.S. 095 Eastwood ,Elementary ,"1,490",974,153%
,,,,,,,
Queens ,29,Q131 ,P.S. 131 Abigail Adams ,Elementary ,812,552,147%
,,,,,,,
Queens ,29,Q015 ,P.S. 015 Jackie Robinson ,Elementary ,433,313,138%
,,,,,,,
Queens ,29,Q270 ,The Gordon Parks School ,K-8 ,753,556,135%
,,,,,,,
Queens ,29,Q034 ,P.S. 034 John Harvard ,Elementary ,580,464,125%
,,,,,,,
Queens ,29,Q035 ,P.S. 035 Nathaniel Woodhull ,Elementary ,706,568,124%
,,,,,,,
Queens ,29,Q132 ,P.S. 132 Ralph Bunche ,Elementary ,391,317,123%
,,,,,,,
Queens ,29,Q036 ,P.S. 036 Saint Albans School ,Elementary ,449,365,123%
,,,,,,,
Queens ,29,Q251 ,P.S. 251 Queens ,Elementary ,339,281,121%
,,,,,,,
Queens ,29,Q038 ,P.S. 038 Rosedale ,Elementary ,270,231,117%
,,,,,,,
Queens ,29,Q268 ,P.S./I.S. 268 ,K-8 ,632,576,110%
,,,,,,,
Queens ,29,Q116 ,P.S./I.S. 116 William C. Hughley ,K-8 ,792,726,109%
,,,,,,,
Queens ,29,Q195 ,P.S. 195 William Haberle ,Elementary ,564,536,105%
,,,,,,,
Queens ,29,Q339 ,Success Academy Charter School - Springfield Gardens - New York 6 ,Elementary ,481,458,105%
,,,,,,,
Queens ,29,Q283 ,Preparatory Academy for Writers: A College Board School ,Secondary School ,588,560,105%
,,,,,,,
Queens ,29,Q033 ,P.S. 033 Edward M. Funk ,Elementary ,974,940,104%
,,,,,,,
Queens ,30,Q228 ,The Ivan Lafayette Early Childhood School of the Arts ,Early Childhood ,314,162,194%
,,,,,,,
Queens ,30,Q575 ,Academy of American Studies ,High school ,"1,038",581,179%
,,,,,,,
Queens ,30,Q304 ,VOICE Charter School of New York ,K-8 ,267,161,166%
,,,,,,,
Queens ,30,Q222 ,P.S. Q222 - Fire Fighter Christopher A. Santora School ,Early Childhood ,281,176,160%
,,,,,,,
Queens ,30,Q300 ,The 30th Avenue School (G&T Citywide) ,K-8 ,457,307,149%
,,,,,,,
Queens ,30,Q212 ,P.S. 212 ,Elementary ,784,534,147%
,,,,,,,
Queens ,30,Q085 ,P.S. 085 Judge Charles Vallone ,Elementary ,657,469,140%
,,,,,,,
Queens ,30,Q280 ,P.S. 280 ,Elementary ,688,496,139%
,,,,,,,
Queens ,30,Q502 ,Information Technology High School ,High school ,"1,007",751,134%
,,,,,,,
Queens ,30,Q580 ,Baccalaureate School for Global Education ,Secondary School ,540,412,131%
,,,,,,,
Queens ,30,Q675 ,The Renaissance School ,Collaborative or Multi-graded ,565,446,127%
,,,,,,,
Queens ,30,Q555 ,Newcomers High School ,High school ,911,737,124%
,,,,,,,
Queens ,30,Q112 ,P.S. 112 Dutch Kills ,Elementary ,485,399,122%
,,,,,,,
Queens ,30,Q329 ,East Elmhurst Community School ,Elementary ,380,325,117%
,,,,,,,
Queens ,30,Q230 ,I.S. 230 ,Junior High-Intermediate-Middle ,"1,296","1,131",115%
,,,,,,,
Queens ,30,Q017 ,P.S. 017 Henry David Thoreau ,Elementary ,547,484,113%
,,,,,,,
Queens ,30,Q127 ,P.S. 127 Aerospace Science Magnet School ,K-8 ,"1,299","1,165",112%
,,,,,,,
Queens ,30,Q152 ,P.S. 152 Gwendoline N. Alleyne School ,Elementary ,"1,104",991,111%
,,,,,,,
Queens ,30,Q501 ,Frank Sinatra School of the Arts High School ,High school ,831,748,111%
,,,,,,,
Queens ,30,Q148 ,P.S. 148 Queens ,Elementary ,919,831,111%
,,,,,,,
Queens ,30,Q069 ,P.S. 069 Jackson Heights ,Elementary ,"1,033",939,110%
,,,,,,,
Queens ,30,Q122 ,P.S. 122 Mamie Fay ,K-8 ,"1,361","1,249",109%
,,,,,,,
Queens ,30,Q450 ,Long Island City High School ,High school ,"2,256","2,087",108%
,,,,,,,
Queens ,30,Q291 ,Hunters Point Community Middle School ,Junior High-Intermediate-Middle ,421,398,106%
,,,,,,,
Queens ,30,Q149 ,P.S. 149 Christa Mcauliffe ,Elementary ,"1,054","1,005",105%
,,,,,,,
Queens ,30,Q286 ,"Young Women's Leadership School, Astoria ",Secondary School ,565,539,105%
,,,,,,,
Queens ,30,Q301 ,Academy for Careers in Television and Film ,High school ,565,548,103%
,,,,,,,
Queens ,30,Q145 ,I.S. 145 Joseph Pulitzer ,Junior High-Intermediate-Middle ,"1,699","1,658",102%
,,,,,,,
Staten Island ,31,R020 ,P.S. 020 Port Richmond ,Elementary ,464,201,231%
,,,,,,,
Staten Island ,31,R026 ,P.S. 026 The Carteret School ,Elementary ,264,133,198%
,,,,,,,
Staten Island ,31,R035 ,P.S. 35 The Clove Valley School ,Elementary ,395,200,198%
,,,,,,,
Staten Island ,31,R005 ,P.S. 005 Huguenot ,Elementary ,302,180,168%
,,,,,,,
Staten Island ,31,R039 ,P.S. 39 Francis J. Murphy Jr. ,Elementary ,548,337,163%
,,,,,,,
Staten Island ,31,R013 ,P.S. 013 M. L. Lindemeyer ,Elementary ,881,556,158%
,,,,,,,
Staten Island ,31,R010 ,Fort Hill Collaborative Elementary School ,Elementary ,165,107,154%
,,,,,,,
Staten Island ,31,R053 ,The Barbara Esselborn School ,Elementary ,833,546,153%
,,,,,,,
Staten Island ,31,R450 ,Curtis High School ,High school ,"2,587","1,812",143%
,,,,,,,
Staten Island ,31,R029 ,P.S. 029 Bardwell ,Elementary ,644,456,141%
,,,,,,,
Staten Island ,31,R074 ,P.S. 74 Future Leaders Elementary School ,Elementary ,312,226,138%
,,,,,,,
Staten Island ,31,R861 ,Staten Island School of Civic Leadership ,K-8 ,906,665,136%
,,,,,,,
Staten Island ,31,R065 ,P.S. 65 The Academy of Innovative Learning ,Elementary ,430,316,136%
,,,,,,,
Staten Island ,31,R045 ,P.S. 045 John Tyler ,Elementary ,862,640,135%
,,,,,,,
Staten Island ,31,R038 ,P.S. 038 George Cromwell ,Elementary ,376,287,131%
,,,,,,,
Staten Island ,31,R011 ,P.S. 11 Thomas Dongan School ,Elementary ,314,245,128%
,,,,,,,
Staten Island ,31,R008 ,P.S. 8 Shirlee Solomon ,Elementary ,601,472,127%
,,,,,,,
Staten Island ,31,R019 ,P.S. 019 The Curtis School ,Elementary ,591,468,126%
,,,,,,,
Staten Island ,31,R078 ,P.S. 78 ,Elementary ,845,676,125%
,,,,,,,
Staten Island ,31,R055 ,P.S. 055 Henry M. Boehm ,Elementary ,600,495,121%
,,,,,,,
Staten Island ,31,R048 ,P.S. 048 William G. Wilcox ,K-8 ,981,810,121%
,,,,,,,
Staten Island ,31,R030 ,P.S. 030 Westerleigh ,Elementary ,822,684,120%
,,,,,,,
Staten Island ,31,R023 ,P.S. 023 Richmondtown ,Elementary ,564,470,120%
,,,,,,,
Staten Island ,31,R054 ,P.S. 054 Charles W. Leng ,Elementary ,806,680,119%
,,,,,,,
Staten Island ,31,R041 ,The Stephanie A. Vierno School ,Elementary ,685,579,118%
,,,,,,,
Staten Island ,31,R003 ,P.S. 003 The Margaret Gioiosa School ,Elementary ,791,674,117%
,,,,,,,
Staten Island ,31,R460 ,Susan E. Wagner High School ,High school ,"3,284","2,809",117%
,,,,,,,
Staten Island ,31,R042 ,P.S. 042 Eltingville ,Elementary ,"1,042",908,115%
,,,,,,,
Staten Island ,31,R046 ,P.S. 046 Albert V. Maniscalco ,Elementary ,269,235,114%
,,,,,,,
Staten Island ,31,R044 ,P.S. 044 Thomas C. Brown ,Elementary ,879,769,114%
,,,,,,,
Staten Island ,31,R063 ,Marsh Avenue School for Expeditionary Learning ,Junior High-Intermediate-Middle ,459,404,114%
,,,,,,,
,,,,,,,
Staten Island ,31,R022 ,P.S. 022 Graniteville ,Elementary ,983,916,107%
,,,,,,,
Staten Island ,31,R605 ,Staten Island Technical High School ,High school ,"1,320","1,242",106%
,,,,,,,
Staten Island ,31,R037 ,The David Marquis School of the Arts ,K-12 all grades ,59,57,104%
,,,,,,,
Staten Island ,31,R050 ,P.S. 050 Frank Hankinson ,Elementary ,774,755,103%
,,,,,,,
Staten Island ,31,R018 ,P.S. 018 John G. Whittier ,Elementary ,573,563,102%
,,,,,,,
Staten Island ,31,R016 ,P.S. 016 John J. Driscoll ,Elementary ,522,515,101%
,,,,,,,
Staten Island ,31,R051 ,I.S. 051 Edwin Markham ,Junior High-Intermediate-Middle ,"1,315","1,299",101%
,,,,,,,
Staten Island ,31,R021 ,P.S. 21 Margaret Emery-Elm Park ,Elementary ,367,364,101%
,,,,,,,
Staten Island ,31,R009 ,Naples Street Elementary School ,Elementary ,298,296,101%
,,,,,,,
Staten Island ,31,R058 ,Space Shuttle Columbia School ,Elementary ,688,685,100%
,,,,,,,
Brooklyn ,32,K784 ,Achievement First North Brooklyn Prep Charter School ,Elementary ,416,347,120%
,,,,,,,