ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent positive<br>(of people tested)
10001,Chelsea/NoMad/West Chelsea,Manhattan,404,1714.55,101.85,8.52
10002,Chinatown/Lower East Side,Manhattan,1169,1523.02,205.85,12.04
10003,East Village/Gramercy/Greenwich Village,Manhattan,493,916.33,63.2,6.52
10004,Financial District,Manhattan,35,958.74,27.39,6.86
10005,Financial District,Manhattan,73,869.45,23.82,6.37
10006,Financial District,Manhattan,33,954.37,0,6.29
10007,TriBeCa,Manhattan,66,800.03,36.36,5.28
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,755,1285.15,117.45,8.65
10010,Flatiron/Gramercy/Kips Bay,Manhattan,290,895.84,58.69,5.65
10011,Chelsea,Manhattan,557,1125.24,84.85,7.07
10012,Greenwich Village/SoHo,Manhattan,181,754.76,37.53,5.9
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,291,1002.37,72.34,6.31
10014,Hudson Square/Meatpacking District/West Village,Manhattan,337,1085.59,90.2,6.4
10016,Kips Bay/Murray Hill/NoMad,Manhattan,753,1433.62,93.29,8.22
10017,East Midtown/Murray Hill,Manhattan,155,961.11,49.61,6.27
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,240,2517.98,52.46,9.05
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,650,1599.75,103.37,8.37
10021,Lenox Hill/Upper East Side,Manhattan,600,1358.22,147.14,7.78
10022,East Midtown,Manhattan,368,1213.13,98.9,6.94
10023,Lincoln Square,Manhattan,597,990.46,87.93,6.41
10024,Upper West Side,Manhattan,767,1337.69,125.57,7.84
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1449,1569.31,186.28,8.41
10026,Central Harlem (South),Manhattan,691,1770.98,120.46,12.59
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1107,1739.72,177.59,12.15
10028,Upper East Side/Yorkville,Manhattan,503,1023.29,63.07,6.99
10029,East Harlem,Manhattan,1904,2414.97,267.63,15.5
10030,Central Harlem (North),Manhattan,534,1821.16,190.98,13.97
10031,Hamilton Heights/West Harlem,Manhattan,1417,2339.95,214.67,14.55
10032,Washington Heights (South),Manhattan,1638,2663.74,281.33,15.91
10033,Washington Heights (North)/Washington Heights (South),Manhattan,1432,2418.49,202.67,15.94
10034,Inwood/Washington Heights (North),Manhattan,777,1803.89,162.51,12.98
10035,East Harlem,Manhattan,1058,3073.2,380.52,17.08
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,467,1781.68,148.79,9.47
10037,Central Harlem (North)/East Harlem,Manhattan,548,2653.8,305.09,14.35
10038,Chinatown/Financial District,Manhattan,264,1197.39,127,9.4
10039,Central Harlem (North)/Washington Heights (South),Manhattan,555,2097.7,241.9,15.59
10040,Washington Heights (North),Manhattan,1190,2655.76,263.34,16.65
10044,Roosevelt Island,Manhattan,245,2093.97,307.68,12.98
10065,Lenox Hill/Upper East Side,Manhattan,337,1159.61,96.35,6.35
10069,Lincoln Square,Manhattan,62,978.21,31.56,6.75
10075,Lenox Hill/Upper East Side,Manhattan,438,1853.25,190.4,9.72
10128,Upper East Side/Yorkville,Manhattan,669,1090.43,68.46,6.98
10280,Battery Park City,Manhattan,61,634.18,0,6.45
10282,Battery Park City,Manhattan,77,1396.08,271.96,11.6
10301,Silver Lake/St. George,Staten Island,1257,3173.16,265.06,18.56
10302,Elm Park,Staten Island,651,3467.56,170.45,23.02
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,911,3472.9,171.55,20.9
10304,New Dorp/Todt Hill,Staten Island,1429,3366.42,428.75,19.53
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,1292,3035.64,187.97,19.16
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,1503,2799.63,152.74,17.18
10307,Tottenville,Staten Island,397,2609.34,98.59,19.07
10308,Great Kills,Staten Island,670,2260.82,94.48,17.54
10309,Charleston/Prince's Bay/Woodrow,Staten Island,871,2639,93.93,17.91
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,728,3049.73,138.24,17.79
10312,Annadale/Rossville,Staten Island,1566,2596.83,97.84,18.15
10314,Bloomfield/Freshkills Park,Staten Island,2755,3033,221.28,18.96
10451,Concourse/Melrose,Bronx,1648,3453.57,310.15,19.42
10452,Concourse/Highbridge,Bronx,2565,3329.65,219.38,20.26
10453,Morris Heights/Mount Hope/University Heights,Bronx,2536,3123.77,200.78,21.44
10454,Mott Haven/Port Morris,Bronx,1206,3155.13,274.7,18.74
10455,Mott Haven,Bronx,1373,3255.53,253.71,20.32
10456,Claremont/Morrisania,Bronx,2681,2869.16,306.07,18.68
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,2289,3064.87,247.71,19.37
10458,Belmont/Fordham University/Kingsbridge,Bronx,2224,2653.69,149.15,19.76
10459,Charlotte Gardens/Hunts Point,Bronx,1582,3271.67,343.3,20.52
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,1766,2939.74,208.08,20.17
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,1921,3882.41,276.88,20.04
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,2367,3060.81,226.3,18.94
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,2145,3008.95,294.58,16.32
10464,City Island,Bronx,129,2963.37,206.75,15.45
10465,Country Club/Throgs Neck,Bronx,1554,3611.4,192.89,19.64
10466,Edenwald/Wakefield,Bronx,2516,3486.38,230.02,22.61
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,3603,3574.97,309.57,21.42
10468,Fordham/Kingsbridge/University Heights,Bronx,2940,3834.06,285.6,20.24
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,3153,4409.28,493.65,22.26
10470,Wakefield/Woodlawn,Bronx,471,3339.54,141.81,18.8
10471,Fieldston/North Riverdale/Riverdale,Bronx,829,3901.68,385.93,16.09
10472,Soundview,Bronx,2110,3106.87,276.82,22.61
10473,Castle Hill/Clason Point/Soundview,Bronx,2031,3279.76,219.62,19.98
10474,Hunts Point,Bronx,339,2725.5,168.84,20.86
10475,Co-op City/Edenwald,Bronx,1793,4098.92,397.78,21.64
11004,Bellerose/Douglaston-Little Neck,Queens,612,3262.51,357.17,15.2
11101,Astoria (South)/Long Island City/Sunnyside,Queens,676,1920.23,107.94,10.37
11102,Astoria (North),Queens,662,2028.63,239.02,12.55
11103,Astoria (North)/Astoria (South),Queens,609,1664.59,142.13,11.03
11104,Sunnyside,Queens,520,2098.83,169.52,12.38
11105,Ditmars Steinway,Queens,512,1426.39,119.79,9.72
11106,Astoria (South),Queens,694,1794.93,131.9,12.2
11109,Long Island City,Queens,56,1104.4,39.44,6.15
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn,766,1257.63,152.69,6.79
11203,East Flatbush (North)/East Flatbush (South),Brooklyn,2177,2966.25,328.37,20.31
11204,Bensonhurst/Mapleton,Brooklyn,2113,2663.81,179.02,17.72
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Brooklyn,786,1785.83,113.6,11.73
11206,Williamsburg (South),Brooklyn,1709,1998.91,180.12,13.68
11207,Cypress Hills/East New York,Brooklyn,2241,2513.55,240.03,18.69
11208,Cypress Hills/East New York,Brooklyn,2549,2666.1,257.3,20.16
11209,Bay Ridge/Fort Hamilton,Brooklyn,1199,1787.39,166.96,11.89
11210,Flatlands/Midwood,Brooklyn,1780,2653.18,222.09,18.56
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),Brooklyn,2212,2221,136.55,12.33
11212,Ocean Hill-Brownsville,Brooklyn,2010,2525.44,291.49,19.14
11213,Crown Heights (East),Brooklyn,1485,2304.97,225.06,15.9
11214,Bath Beach/Bensonhurst/Gravesend,Brooklyn,1638,1755,193.93,14.63
11215,Gowanus/Park Slope/Windsor Terrace,Brooklyn,654,935.19,67.21,6.51
11216,Bedford-Stuyvesant (West)/Crown Heights (West),Brooklyn,802,1444.06,133.24,9.94
11217,Boerum Hill/Park Slope,Brooklyn,655,1379.63,179.04,9.76
11218,Kensington/Windsor Terrace,Brooklyn,1832,2416.68,179.4,15.71
11219,Borough Park,Brooklyn,3187,3432.12,249.84,17.31
11220,Sunset Park,Brooklyn,1708,1734.89,166.58,16.14
11221,Bedford-Stuyvesant (East)/Bushwick,Brooklyn,1412,1728.86,176.31,13.01
11222,Greenpoint,Brooklyn,486,1337.03,88.04,7.32
11223,Gravesend/Homecrest,Brooklyn,1796,2246.2,180.1,17.19
11224,Brighton Beach/Coney Island/Seagate,Brooklyn,1298,2917.68,472.04,19.42
11225,Crown Heights (West)/Prospect Lefferts Gardens,Brooklyn,1219,2112.23,239.12,14.42
11226,Flatbush/Prospect Lefferts Gardens,Brooklyn,2458,2481.29,301.83,17.36
11228,Bath Beach/Dyker Heights,Brooklyn,710,1605.79,183.2,14.85
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,Brooklyn,1853,2182.33,174.3,12.57
11230,Midwood,Brooklyn,2469,2769,254.58,16.93
11231,Carroll Gardens/Cobble Hill/Red Hook,Brooklyn,443,1197.47,91.91,8.1
11232,Sunset Park,Brooklyn,585,2069.25,148.56,15.5
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Brooklyn,1356,1879.53,187.12,16.63
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,Brooklyn,2326,2440.59,201.46,19.08
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,Brooklyn,2139,2689.21,372.14,16.9
11236,Canarsie,Brooklyn,2877,2970.67,306.67,21.63
11237,Bushwick/East Williamsburg,Brooklyn,1054,2079.07,224.87,14.02
11238,Clinton Hill/Prospect Heights,Brooklyn,846,1566.21,190.68,9.07
11239,East New York,Brooklyn,545,4390.43,708.91,18.15
11354,Flushing/Murray Hill,Queens,1314,2366.79,524.15,13.69
11355,Flushing/Murray Hill/Queensboro Hill,Queens,1464,1829.68,206.21,14.19
11356,College Point,Queens,597,2559.73,180.08,18.18
11357,Whitestone,Queens,860,2151.31,255.16,15.15
11358,Auburndale/Murray Hill,Queens,611,1719.12,120.99,12.16
11360,Bayside (North),Queens,331,1754.74,143.14,11.45
11361,Bayside (North)/Bayside (South),Queens,477,1705.28,200.2,12.85
11362,Douglaston-Little Neck,Queens,338,1905.51,197.32,13.89
11363,Douglaston-Little Neck,Queens,101,1410.81,69.84,11.74
11364,Bayside (South)/Oakland Gardens,Queens,481,1391.68,101.27,11.79
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,885,2009.04,152.1,14.82
11366,Fresh Meadows/Hillcrest,Queens,402,2917.82,195.97,19.92
11367,Kew Gardens Hills/Pomonok,Queens,1086,2583.3,159.37,17.42
11368,Corona/North Corona,Queens,4858,4353.28,395.18,23.35
11369,Airport/East Elmhurst,Queens,1681,4610.25,485.43,24.68
11370,Jackson Heights/Rikers Island,Queens,1387,4234,195.37,23.47
11372,Jackson Heights,Queens,2670,4267.71,405.99,20.61
11373,Elmhurst,Queens,3367,3625.27,316.55,19.88
11374,Rego Park,Queens,1122,2668.4,235.45,17.56
11375,Forest Hills,Queens,1504,2131.73,256.54,15.28
11377,Woodside,Queens,2379,2751.29,222.05,16.11
11378,Maspeth,Queens,777,2246.09,205.24,15.32
11379,Middle Village,Queens,855,2362.17,267.99,15.86
11385,Glendale/Ridgewood,Queens,2293,2227.73,136.01,16.94
11411,Cambria Heights,Queens,710,3464.38,243.97,24.3
11412,St. Albans,Queens,1286,3268.36,231.28,23.1
11413,Laurelton/Rosedale,Queens,1364,3125,233.69,23.31
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,832,2943.51,219.35,21.91
11415,Kew Gardens,Queens,550,2859.48,265.15,18.1
11416,Ozone Park,Queens,746,2802.99,206.65,22.05
11417,Ozone Park,Queens,917,2932.46,147.1,20.28
11418,Richmond Hill,Queens,1167,3062.58,275.55,21.22
11419,Richmond Hill/South Ozone Park,Queens,1258,2474,188.79,22.43
11420,South Ozone Park,Queens,1423,2939.13,221,22.64
11421,Woodhaven,Queens,1243,2944.84,241.65,21.28
11422,Rosedale,Queens,1031,3057.39,198.69,22.44
11423,Hollis/Holliswood,Queens,1118,3489.26,321.46,23.32
11426,Bellerose,Queens,509,2499.6,166.97,19.85
11427,Bellerose/Hollis Hills/Holliswood,Queens,811,3493.83,219.71,21.15
11428,Queens Village,Queens,692,3580.4,279.4,23.93
11429,Queens Village,Queens,999,3563.23,267.51,22.58
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,1907,3017.62,397.18,20.71
11433,Jamaica,Queens,990,2747.27,219.23,20.95
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,2181,3229.38,287.25,22.38
11435,Briarwood/Jamaica,Queens,1696,2941.18,256.66,20.6
11436,South Jamaica/South Ozone Park,Queens,557,2676.93,211.46,21.45
11691,Edgemere/Far Rockaway,Queens,2519,3889.81,568.26,19.49
11692,Arverne/Edgemere,Queens,659,3275.31,457.25,18.26
11693,Arverne/Broad Channel,Queens,343,2770.31,234.22,19.64
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,756,3713.93,427.4,20.63
11697,Breezy Point,Queens,110,3110.25,113.1,8.49